# LEGv8 Instruction Configuration
# Columns: Mnemonic,Format,OpcodeID(Bin),RegW,ALUSrc,MemW,MemR,MemToReg,ZeroB,FlagB,UncondB,Reg2Loc,FlagW,ALUOperation(Bin),ALUControlOutput(Bin)
#---------------------------------------------------------------------------------------------------------------------------
ADD,R,10001011000,1,0,0,0,0,0,0,0,0,0,0010,0010       
ADDS,R,10101011000,1,0,0,0,0,0,0,0,0,1,0010,0010      
SUB,R,11001011000,1,0,0,0,0,0,0,0,0,0,0001,0110       
SUBS,R,11101011000,1,0,0,0,0,0,0,0,0,1,0001,0110      
AND,R,10001010000,1,0,0,0,0,0,0,0,0,0,0010,0000       
ANDS,R,11101010000,1,0,0,0,0,0,0,0,0,1,0010,0000      
ORR,R,10101010000,1,0,0,0,0,0,0,0,0,0,0011,0001       
EOR,R,11001010000,1,0,0,0,0,0,0,0,0,0,0100,0011       
LSL,R,11010011011,1,0,0,0,0,0,0,0,0,0,0101,1000       
LSR,R,11010011010,1,0,0,0,0,0,0,0,0,0,0110,1001       
ASR,R,11010011001,1,0,0,0,0,0,0,0,0,0,0111,1010       
MUL,R,10011011000,1,0,0,0,0,0,0,0,0,0,1000,1100       
SMULH,R,10011011010,1,0,0,0,0,0,0,0,0,0,1001,1101     
UMULH,R,10011011110,1,0,0,0,0,0,0,0,0,0,1010,1110     
SDIV,R,10011010110,1,0,0,0,0,0,0,0,0,0,1011,1111      
UDIV,R,10011010111,1,0,0,0,0,0,0,0,0,0,1100,1011      
ADDI,I,1001000100,1,1,0,0,0,0,0,0,0,0,0000,0010       
ADDIS,I,1011000100,1,1,0,0,0,0,0,0,0,1,0000,0010      
SUBI,I,1101000100,1,1,0,0,0,0,0,0,0,0,0001,0110       
SUBIS,I,1111000100,1,1,0,0,0,0,0,0,0,1,0001,0110      
ANDI,I,1001001000,1,1,0,0,0,0,0,0,0,0,0010,0000       
ANDIS,I,1111001000,1,1,0,0,0,0,0,0,0,1,0010,0000      
ORI,I,1011001000,1,1,0,0,0,0,0,0,0,0,0011,0001        
EORI,I,1101001000,1,1,0,0,0,0,0,0,0,0,0100,0011       
LDUR,D,11111000010,1,1,0,1,1,0,0,0,0,0,0000,0010      
STUR,D,11111000000,0,1,1,0,0,0,0,0,0,0,0000,0010      
LDURB,D,00111001010,1,1,0,1,1,0,0,0,0,0,0000,0010     
STURB,D,00111001000,0,1,1,0,0,0,0,0,0,0,0000,0010     
LDURH,D,01111001010,1,1,0,1,1,0,0,0,0,0,0000,0010     
STURH,D,01111001000,0,1,1,0,0,0,0,0,0,0,0000,0010     
LDURSW,D,10111001010,1,1,0,1,1,0,0,0,0,0,0000,0010    
STURW,D,10111001000,0,1,1,0,0,0,0,0,0,0,0000,0010     
B,B,000101,0,0,0,0,0,0,0,1,0,0,N/A,N/A               
BL,B,100101,1,0,0,0,0,0,0,1,0,0,N/A,N/A              
CBZ,C,10110100,0,0,0,0,0,1,0,0,0,0,0001,0111         
CBNZ,C,10110101,0,0,0,0,0,1,0,0,0,0,0001,0111        
B.EQ,C,01010100,0,0,0,0,0,0,1,0,0,0,N/A,N/A         
B.NE,C,01010100,0,0,0,0,0,0,1,0,0,0,N/A,N/A         
B.CS,C,01010100,0,0,0,0,0,0,1,0,0,0,N/A,N/A         
B.CC,C,01010100,0,0,0,0,0,0,1,0,0,0,N/A,N/A         
B.MI,C,01010100,0,0,0,0,0,0,1,0,0,0,N/A,N/A         
B.PL,C,01010100,0,0,0,0,0,0,1,0,0,0,N/A,N/A         
B.VS,C,01010100,0,0,0,0,0,0,1,0,0,0,N/A,N/A         
B.VC,C,01010100,0,0,0,0,0,0,1,0,0,0,N/A,N/A         
B.HI,C,01010100,0,0,0,0,0,0,1,0,0,0,N/A,N/A         
B.LS,C,01010100,0,0,0,0,0,0,1,0,0,0,N/A,N/A         
B.GE,C,01010100,0,0,0,0,0,0,1,0,0,0,N/A,N/A         
B.LT,C,01010100,0,0,0,0,0,0,1,0,0,0,N/A,N/A         
B.GT,C,01010100,0,0,0,0,0,0,1,0,0,0,N/A,N/A         
B.LE,C,01010100,0,0,0,0,0,0,1,0,0,0,N/A,N/A         
MOVZ,IM,110100101,1,1,0,0,0,0,0,0,0,0,0010,0111       
MOVK,IM,111100101,1,1,0,0,0,0,0,0,0,0010,0111        
